"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @robertoyexorow: State of decay решения проблем сохранения http://t.co/XFmByizmR8",FALSE,0,NA,2015-02-12 23:48:12,FALSE,NA,"566020981450616833",NA,"<a href=""http://guillity.ru"" rel=""nofollow"">Sloumores</a>","robertizipidav",3,TRUE,FALSE,NA,NA
"Numbered Corvette ""sinkhole"" Floor Plug (Bowling Green) USD 122.5 http://t.co/mBkpu6LdZG #eBay #eBayUS via @corvettemuseum",FALSE,0,NA,2015-02-12 23:47:23,FALSE,NA,"566020773857751041",NA,"<a href=""http://www.ebayrt.co"" rel=""nofollow"">RealTimeDeals</a>","ebayrt",0,FALSE,FALSE,NA,NA
"Interesting piece of Skydome and sinkhole history - a piece of the floor that was drilled. http://t.co/vqihLq1S6w",FALSE,1,NA,2015-02-12 23:47:22,FALSE,NA,"566020772301643776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","corvettemuseum",1,FALSE,FALSE,NA,NA
"In 2090 wordt bij de geschiedenisles geleerd dat er ooit een provincie Groningen bestond voordat het op vage wijze in een sinkhole stortte.",FALSE,0,NA,2015-02-12 23:46:20,FALSE,NA,"566020512191881216",NA,"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","_KMvreter",0,FALSE,FALSE,NA,NA
"Is the Coe Hill sinkhole why we almost have no water? Oh well. I can't do dishes and I have beer. Things could be worse.",FALSE,1,NA,2015-02-12 23:46:18,FALSE,NA,"566020501277929472",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Bucky_5000",0,FALSE,FALSE,NA,NA
"RT @corvettemuseum: We've been given the ok to share our security footage of the sinkhole collapse. http://t.co/byHqU6VX8h #sinkhole365 #tbt",FALSE,0,NA,2015-02-12 23:45:50,FALSE,NA,"566020384194314241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","olly_pritchard",5,TRUE,FALSE,NA,NA
"RT @KVanoverWBKO: Behind the scenes at #NCM 1 yr after sinkhole collapse. #teamcoverage #corvettecavein #fieldproducers #production http://…",FALSE,0,NA,2015-02-12 23:44:23,FALSE,NA,"566020021026299906",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wbkotv",1,TRUE,FALSE,NA,NA
"super-amazing-sinkhole",FALSE,1,NA,2015-02-12 23:43:58,FALSE,NA,"566019913140035585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StevenLannin",1,FALSE,FALSE,NA,NA
"Behind the scenes at #NCM 1 yr after sinkhole collapse. #teamcoverage #corvettecavein #fieldproducers #production http://t.co/b1fomJZots",FALSE,1,NA,2015-02-12 23:43:51,FALSE,NA,"566019886091354112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KVanoverWBKO",1,FALSE,FALSE,NA,NA
"RT @wbkotv: The sinkhole was the result of a cave ceiling collapsing. #CorvetteCavein",FALSE,0,NA,2015-02-12 23:43:04,FALSE,NA,"566019688493101057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sharonfgass",1,TRUE,FALSE,NA,NA
"There are cave areas on both sides of the sinkhole but 50' underground. The rest of the building is not at risk. #CorvetteCavein",FALSE,0,NA,2015-02-12 23:40:09,FALSE,NA,"566018955421421568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wbkotv",1,FALSE,FALSE,NA,NA
"RT @KVanoverWBKO: Team Coverage at the National Corvette Museum, 1 yr. after the sinkhole collapse. Join us LIVE again on WBKO @ 6! http://…",FALSE,0,NA,2015-02-12 23:38:22,FALSE,NA,"566018504093360128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wbkotv",2,TRUE,FALSE,NA,NA
"The sinkhole was the result of a cave ceiling collapsing. #CorvetteCavein",FALSE,2,NA,2015-02-12 23:36:38,FALSE,NA,"566018069257273345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wbkotv",1,FALSE,FALSE,NA,NA
"Restored Blue Devil revealed on anniversary of sinkhole opening http://t.co/2SGQpNk09B",FALSE,0,NA,2015-02-12 23:34:23,FALSE,NA,"566017503462039552",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","TLW3",0,FALSE,FALSE,NA,NA
"A sinkhole that nearly destroyed the National Corvette Museum actually boosted business http://t.co/IRGTTomlxJ",FALSE,0,NA,2015-02-12 23:34:23,FALSE,NA,"566017502459596800",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","TLW3",0,FALSE,FALSE,NA,NA
"#Odd One year later, sinkhole didn't sink Corvette Museum in Kentucky: LOUISVILLE, K.. http://t.co/BBBkQTTRHX http://t.co/gjuwVUkz2j",FALSE,0,NA,2015-02-12 23:34:09,FALSE,NA,"566017445400674304",NA,"<a href=""http://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","BejahNEWS",0,FALSE,FALSE,NA,NA
"RT @KVanoverWBKO: Team Coverage at the National Corvette Museum, 1 yr. after the sinkhole collapse. Join us LIVE again on WBKO @ 6! http://…",FALSE,0,NA,2015-02-12 23:31:53,FALSE,NA,"566016873423450113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JakeWBKO",2,TRUE,FALSE,NA,NA
"RT @bgdailynews: Restored Blue Devil revealed on anniversary of sinkhole opening http://t.co/BHxsdhVosw",FALSE,0,NA,2015-02-12 23:29:34,FALSE,NA,"566016292231323648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wkudn",2,TRUE,FALSE,NA,NA
"Team Coverage at the National Corvette Museum, 1 yr. after the sinkhole collapse. Join us LIVE again on WBKO @ 6! http://t.co/Sg0FR9ZvZ8",FALSE,4,NA,2015-02-12 23:28:52,FALSE,NA,"566016113603903488",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","KVanoverWBKO",2,FALSE,FALSE,NA,NA
"After being given the ok, the remaining cars not affected by the sinkhole (19 in total) are taken out of the room. #CorvetteCavein",FALSE,0,NA,2015-02-12 23:25:25,FALSE,NA,"566015248298434560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wbkotv",0,FALSE,FALSE,NA,NA
"RT @wbkotv: After mistaking dust for smoke, the fire department was called. Then the sinkhole was discovered. #CorvetteCavein",FALSE,0,NA,2015-02-12 23:21:42,FALSE,NA,"566014312649875456",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","KHancock_WBKO",1,TRUE,FALSE,NA,NA
