"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Stuck at home w Flu B. Counting on livetweets from #4C15, esp from @joycelocke's keynote. Bring it.",FALSE,1,NA,2015-03-17 18:53:51,FALSE,NA,"577905705912512512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rmhoward",0,FALSE,FALSE,NA,NA
"RT @kstedman: I'll have a rental car leaving TPA around 8pm; let me know if you need a ride anywhere? #4c15",FALSE,0,NA,2015-03-17 18:52:09,FALSE,NA,"577905275371417601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tampa4c",2,TRUE,FALSE,NA,NA
"@JChaseSanchez   Feminist Pedagogy workshop tomorrow (hosted by awesome @CWSHRC !) #4c15",FALSE,0,"JChaseSanchez",2015-03-17 18:50:22,FALSE,"577900474889740288","577904828266893314","772053727","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rachelbigeyes",0,FALSE,FALSE,NA,NA
"MT @chenchen328 At #4C15 we're collecting multimodal assignments for FYC for session F33 Fri. morn. Tweet your assignments w/ #MultimodalFYC",FALSE,0,NA,2015-03-17 18:50:19,FALSE,NA,"577904814266408961",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NCTE_CCCC",1,FALSE,FALSE,NA,NA
"My flight to #4C15 is FULL of @UWMenglish grad students! Represent!",FALSE,4,NA,2015-03-17 18:48:15,FALSE,NA,"577904294348787712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kkprins",0,FALSE,FALSE,NA,NA
"#PhDQuest2k15 train made it to #4c15; now all I wanna do is... http://t.co/n5rYuxlx5q",FALSE,0,NA,2015-03-17 18:44:48,FALSE,NA,"577903428178976768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","argella",0,FALSE,FALSE,"-82.46386154","27.95298792"
"I swear it's the LAST time I will make changes &amp; print my 4c15 presentation. The last. I uploaded it to the online community. It is done.",FALSE,2,NA,2015-03-17 18:38:04,FALSE,NA,"577901731385856001",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Louisvillebound",0,FALSE,FALSE,NA,NA
"Why is it that the one session that I really need to attend (b/c it overlaps with diss rsch) is EXACTLY when I'm presenting? #4C15",FALSE,1,NA,2015-03-17 18:37:50,FALSE,NA,"577901673512706048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jzinchuk",0,FALSE,FALSE,NA,NA
"Sneak-peek of Sat. slides. http://t.co/7fSjm5rsTf #4c15 ""Knock, Knock!""",FALSE,0,NA,2015-03-17 18:36:04,FALSE,NA,"577901226957783040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marenster",0,FALSE,FALSE,NA,NA
"'Bridging a Class Divide'Published in India Today March  23rd         Check this out:
91D016E9-2DA2-4C15-9A1B-C4384C5E0405.jpg",FALSE,0,NA,2015-03-17 18:32:52,FALSE,NA,"577900423077445632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ravisaxena53",0,FALSE,FALSE,NA,NA
